Date,Open,High,Low,Close,Adj Close,Volume
2015-12-17,196.720001,196.720001,193.490005,194.850006,185.690033,784000.0
2015-12-18,193.800003,195.490005,192.699997,193.929993,184.813278,1608200.0
2015-12-21,195.699997,196.5,193.729996,196.369995,187.138565,484700.0
2015-12-22,195.850006,202.740005,195.850006,201.949997,192.456223,897200.0
2015-12-23,203.940002,207.020004,202.869995,205.600006,195.934662,730900.0
2015-12-24,205.639999,207.669998,205.21000700000002,205.449997,195.791718,301500.0
2015-12-28,204.149994,206.169998,203.050003,204.369995,194.762482,411300.0
2015-12-29,205.369995,206.940002,204.490005,205.53999299999998,195.877487,372400.0
2015-12-30,205.53999299999998,206.71000700000002,204.619995,204.699997,195.076996,263000.0
2015-12-31,203.860001,205.279999,202.240005,202.58999599999999,193.06616200000002,494100.0
2016-01-04,199.550003,202.130005,197.770004,202.119995,192.61824,705100.0
2016-01-05,202.729996,203.429993,197.759995,199.679993,190.292969,730600.0
2016-01-06,197.41000400000001,201.130005,196.320007,199.050003,189.692566,727100.0
2016-01-07,197.179993,198.800003,194.08999599999999,197.130005,187.86283899999998,544100.0
2016-01-08,198.139999,198.830002,194.380005,194.78999299999998,185.632813,722900.0
2016-01-11,194.16000400000001,194.33999599999999,187.759995,189.119995,180.229401,1192400.0
2016-01-12,189.600006,191.880005,185.020004,187.649994,178.828476,1166300.0
2016-01-13,188.649994,191.419998,184.889999,185.600006,176.874878,868200.0
2016-01-14,185.619995,190.83999599999999,183.5,188.96000700000002,180.07693500000002,693900.0
2016-01-15,185.25,189.929993,183.529999,189.419998,180.515274,1337400.0
2016-01-19,190.41000400000001,191.979996,184.649994,186.580002,177.808777,786400.0
2016-01-20,185.110001,185.440002,176.850006,182.779999,174.18743899999998,1140100.0
2016-01-21,183.100006,186.520004,182.0,185.529999,176.808167,843900.0
2016-01-22,187.809998,190.479996,184.669998,187.229996,178.428223,1095700.0
2016-01-25,187.179993,187.369995,182.75,185.529999,176.808167,1058800.0
2016-01-26,196.71000700000002,197.0,182.570007,186.0,177.256058,1493100.0
2016-01-27,186.770004,188.679993,183.0,185.119995,176.417435,1071700.0
2016-01-28,185.860001,192.630005,185.5,192.179993,183.145538,1051200.0
2016-01-29,193.080002,197.369995,193.080002,196.690002,187.443527,1022400.0
2016-02-01,195.360001,199.0,193.630005,197.699997,188.406036,826500.0
2016-02-02,195.16000400000001,195.699997,191.899994,192.929993,183.860275,448500.0
2016-02-03,195.229996,198.899994,189.570007,197.649994,188.358383,784700.0
2016-02-04,201.369995,212.649994,199.350006,208.479996,199.86236599999998,1492000.0
2016-02-05,208.0,212.13999900000002,205.929993,208.309998,199.69937099999999,1204900.0
2016-02-08,206.83999599999999,212.92999300000002,205.380005,210.32000699999998,201.626312,1244000.0
2016-02-09,207.990005,212.02999900000003,206.21000700000002,209.789993,201.118225,1477500.0
2016-02-10,211.05000299999998,212.0,203.880005,204.080002,195.644226,1116900.0
2016-02-11,200.550003,205.949997,197.66000400000001,204.369995,195.922256,912400.0
2016-02-12,206.229996,211.77999900000003,204.429993,211.08999599999999,202.364471,740600.0
2016-02-16,212.19999700000002,217.00999500000003,209.690002,213.97000099999997,205.125427,940200.0
2016-02-17,216.25,218.72000099999997,214.11000099999998,216.36000099999998,207.41665600000002,903800.0
2016-02-18,217.74000499999997,217.94999700000002,215.22000099999997,215.850006,206.927719,634300.0
2016-02-19,215.059998,217.41000400000001,212.32000699999998,217.270004,208.28903200000002,695600.0
2016-02-22,218.57000699999998,224.17999300000002,217.63999900000002,220.52999900000003,211.41427599999997,900600.0
2016-02-23,220.69999700000002,221.47000099999997,217.49000499999997,217.899994,208.89299,669400.0
2016-02-24,214.5,216.809998,212.399994,215.97000099999997,207.042755,861200.0
2016-02-25,217.52999900000003,217.88000499999998,213.72000099999997,217.5,208.50953700000002,689500.0
2016-02-26,218.979996,219.41000400000001,215.270004,217.94999700000002,208.940903,732100.0
2016-02-29,218.07000699999998,218.74000499999997,215.05000299999998,216.899994,207.934311,688900.0
2016-03-01,219.00999500000003,225.86000099999998,215.210007,223.67999300000002,214.434052,864700.0
2016-03-02,223.0,223.88000499999998,219.520004,220.61000099999998,211.490952,617000.0
2016-03-03,221.11000099999998,223.25,219.600006,221.710007,212.54548599999998,836300.0
2016-03-04,220.789993,222.690002,215.17999300000002,221.960007,212.78517200000002,715200.0
2016-03-07,221.61999500000002,225.67999300000002,220.88999900000002,224.289993,215.01884500000003,456800.0
2016-03-08,223.86000099999998,225.94999700000002,222.05000299999998,224.789993,215.49818399999998,609000.0
2016-03-09,226.0,226.17999300000002,217.58999599999999,218.940002,209.889984,907600.0
2016-03-10,219.36999500000002,220.399994,216.0,217.940002,208.93133500000002,816700.0
2016-03-11,219.49000499999997,220.539993,214.729996,217.270004,208.28903200000002,902800.0
2016-03-14,217.5,218.830002,215.25999500000003,217.42999300000002,208.442413,530800.0
2016-03-15,215.229996,218.27999900000003,214.080002,217.919998,208.91217,425700.0
2016-03-16,218.11000099999998,221.32000699999998,216.22000099999997,220.63999900000002,211.51974500000003,662500.0
2016-03-17,220.350006,232.0,218.32000699999998,226.600006,217.233368,1321600.0
2016-03-18,227.52999900000003,227.830002,225.19999700000002,225.58999599999999,216.265106,981200.0
2016-03-21,225.58999599999999,227.940002,224.17999300000002,227.44999700000002,218.048233,406000.0
2016-03-22,227.289993,230.32000699999998,227.190002,228.47000099999997,219.02606200000002,541700.0
2016-03-23,228.19999700000002,230.289993,227.460007,229.11000099999998,219.639633,469800.0
2016-03-24,228.05000299999998,231.0,228.05000299999998,229.149994,219.67796299999998,503300.0
2016-03-28,229.77999900000003,230.0,227.36999500000002,228.19999700000002,218.76724199999998,324600.0
2016-03-29,227.190002,230.83999599999999,226.580002,230.61000099999998,221.077637,309700.0
2016-03-30,232.309998,234.289993,230.24000499999997,233.5,223.84816,469700.0
2016-03-31,233.330002,234.770004,231.830002,233.42999300000002,223.781036,461600.0
2016-04-01,230.38000499999998,234.57000699999998,226.97000099999997,234.38000499999998,224.691788,488900.0
2016-04-04,233.850006,234.61000099999998,230.600006,231.25999500000003,221.700745,392300.0
2016-04-05,231.66000400000001,234.75999500000003,229.520004,233.649994,223.99192799999997,706100.0
2016-04-06,231.94999700000002,233.0,226.309998,232.83999599999999,223.215439,621800.0
2016-04-07,232.020004,233.82000699999998,229.100006,229.97000099999997,220.464081,512500.0
2016-04-08,231.33999599999999,234.580002,229.88000499999998,230.63999900000002,221.1064,579800.0
2016-04-11,232.13000499999998,234.75,232.0,232.41000400000001,222.803223,511100.0
2016-04-12,229.49000499999997,230.960007,226.960007,229.63999900000002,220.14770499999997,687200.0
2016-04-13,231.30000299999998,234.24000499999997,229.88000499999998,233.77999900000003,224.116577,465400.0
2016-04-14,234.55000299999998,234.80000299999998,232.25,234.47000099999997,224.77806099999998,372300.0
2016-04-15,234.86999500000002,235.88999900000002,232.72000099999997,235.05000299999998,225.334091,725600.0
2016-04-18,235.0,235.0,229.5,231.99000499999997,222.40058900000002,1157100.0
