Date,Open,High,Low,Close,Adj Close,Volume
2011-06-17,109.400002,109.839996,108.529999,108.66999799999999,104.510139,736700
2011-06-20,108.639999,109.410004,108.41999799999999,109.139999,104.962151,548900
2011-06-21,109.470001,109.989998,109.379997,109.739998,105.539177,486900
2011-06-22,109.809998,110.129997,109.099998,109.160004,104.9814,515500
2011-06-23,108.300003,108.879997,106.339996,108.800003,104.635162,670100
2011-06-24,108.900002,108.980003,107.239998,107.519997,103.40416,784700
2011-06-27,107.300003,108.550003,107.18,108.260002,104.115845,371400
2011-06-28,108.68,110.370003,108.440002,110.18,105.962349,424600
2011-06-29,110.400002,110.93,109.07,109.160004,104.9814,714200
2011-06-30,109.25,110.120003,109.25,109.860001,105.654579,1207900
2011-07-01,109.66999799999999,111.82,109.58000200000001,111.690002,107.414528,632900
2011-07-05,111.400002,112.0,111.400002,111.82,107.539551,685400
2011-07-06,111.83000200000001,113.269997,111.699997,113.239998,108.90520500000001,610800
2011-07-07,113.75,113.839996,113.029999,113.32,108.982147,425400
2011-07-08,112.260002,112.900002,111.959999,112.82,108.501282,528300
2011-07-11,112.110001,112.18,111.07,111.290001,107.029854,474900
2011-07-12,111.220001,113.059998,111.190002,112.269997,107.972321,447500
2011-07-13,112.660004,113.589996,112.18,112.379997,108.07811000000001,350300
2011-07-14,112.720001,113.349998,112.300003,112.5,108.193527,510100
2011-07-15,112.82,112.82,111.339996,111.800003,107.52033999999999,752200
2011-07-18,111.860001,111.989998,110.720001,111.440002,107.174095,486000
2011-07-19,111.66999799999999,113.209999,111.66999799999999,112.980003,108.65516699999999,535900
2011-07-20,113.209999,113.209999,111.66999799999999,112.230003,107.933853,431600
2011-07-21,111.760002,113.769997,111.300003,112.709999,108.579315,715000
2011-07-22,103.91999799999999,105.089996,99.199997,99.58000200000001,95.930504,3906000
2011-07-25,100.309998,101.07,99.300003,100.440002,96.758987,1449800
2011-07-26,100.349998,101.370003,100.279999,100.379997,96.701195,1181500
2011-07-27,100.08000200000001,100.599998,98.989998,99.059998,95.42954300000001,965300
2011-07-28,99.43,100.290001,97.709999,97.860001,94.273537,1101900
2011-07-29,97.150002,99.190002,96.809998,98.68,95.063499,979800
2011-08-01,99.800003,100.730003,95.33000200000001,96.449997,92.915199,1627900
2011-08-02,96.449997,98.18,93.93,93.980003,90.535751,1797900
